year,life_expectancy
1800,31.48601990049751
1801,31.448905472636813
1802,31.463482587064675
1803,31.37741293532338
1804,31.4463184079602
1805,31.562537313432834
1806,31.615970149253734
1807,31.573134328358208
1808,31.376766169154227
1809,31.310447761194027
1810,31.521741293532337
1811,31.48189054726368
1812,31.47273631840796
1813,31.467213930348258
1814,31.5163184079602
1815,31.647412935323384
1816,31.627512437810946
1817,31.721542288557213
1818,31.574726368159205
1819,31.488606965174128
1820,31.560796019900497
1821,31.620597014925373
1822,31.722089552238806
1823,31.770646766169154
1824,31.70900497512438
1825,31.666815920398008
1826,31.597313432835822
1827,31.63358208955224
1828,31.577860696517412
1829,31.55995024875622
1830,31.640099502487562
1831,31.604776119402988
1832,31.569203980099502
1833,31.564328358208957
1834,31.551990049751243
1835,31.674427860696518
1836,31.640696517412934
1837,31.580646766169153
1838,31.641293532338306
1839,31.631741293532336
1840,31.714228855721394
1841,31.729601990049748
1842,31.73417910447761
1843,31.71910447761194
1844,31.778109452736317
1845,31.82547263681592
1846,31.547164179104474
1847,31.61900497512438
1848,31.61671641791045
1849,31.466069651741297
1850,31.635721393034824
1851,31.772985074626867
1852,31.785820895522388
1853,31.78462686567164
1854,31.573084577114425
1855,31.704726368159204
1856,31.71626865671642
1857,31.71825870646766
1858,31.72353233830846
1859,31.69313432835821
1860,31.765721393034823
1861,31.734278606965177
1862,31.670597014925374
1863,31.721542288557213
1864,31.65477611940298
1865,31.615373134328355
1866,31.50114427860696
1867,31.509502487562187
1868,31.252786069651744
1869,31.55179104477612
1870,31.773980099502484
1871,31.710696517412938
1872,31.7818407960199
1873,31.8507960199005
1874,31.895124378109454
1875,31.775621890547264
1876,31.95457711442786
1877,32.02059701492537
1878,31.967064676616914
1879,32.12542288557214
1880,32.11601990049751
1881,32.16298507462687
1882,32.103034825870644
1883,32.237960199004974
1884,32.3671144278607
1885,32.41761194029851
1886,32.46328358208955
1887,32.50457711442786
1888,32.53004975124378
1889,32.51114427860696
1890,32.291044776119406
1891,32.47537313432836
1892,32.47840796019901
1893,32.53308457711442
1894,32.74721393034826
1895,32.8118407960199
1896,32.895223880597015
1897,32.96427860696517
1898,32.99407960199005
1899,32.962985074626864
1900,33.013383084577114
1901,33.1802487562189
1902,33.25567164179105
1903,33.267462686567164
1904,33.3110447761194
1905,33.34810945273632
1906,33.456119402985074
1907,33.56616915422886
1908,33.66716417910448
1909,33.89875621890547
1910,34.03502487562189
1911,34.13796019900497
1912,34.334378109452736
1913,34.342587064676614
1914,34.08069651741294
1915,33.7163184079602
1916,33.81412935323383
1917,33.66228855721393
1918,22.29213930348259
1919,33.76980099502487
1920,33.97532338308458
1921,34.43004975124378
1922,34.77472636815921
1923,35.478756218905474
1924,35.768955223880596
1925,35.943930348258704
1926,36.35378109452736
1927,36.550796019900496
1928,36.88109452736319
1929,36.92855721393035
1930,37.4089552238806
1931,37.417661691542285
1932,37.44039800995025
1933,37.270199004975126
1934,38.72363184079602
1935,39.11462686567164
1936,39.59726368159204
1937,39.91860696517413
1938,40.44293532338308
1939,40.91283582089552
1940,40.90089552238806
1941,39.609402985074624
1942,39.49726368159204
1943,39.33741293532338
1944,39.12497512437811
1945,40.94522388059701
1946,44.31641791044776
1947,44.87860696517413
1948,46.948706467661694
1949,48.06383084577114
1950,49.259752475247524
1951,49.508514851485145
1952,50.15594059405941
1953,50.82287128712871
1954,51.510643564356435
1955,52.10415841584159
1956,52.65415841584158
1957,53.13054455445545
1958,53.742425742574255
1959,54.18747524752476
1960,54.73282178217822
1961,55.24202970297029
1962,55.695841584158416
1963,56.2150495049505
1964,56.73742574257425
1965,57.135099009901
1966,57.572524752475246
1967,58.01762376237623
1968,58.39044554455446
1969,58.75915841584158
1970,59.238564356435646
1971,59.679752475247525
1972,60.104257425742574
1973,60.48391089108911
1974,60.87163366336633
1975,61.199653465346536
1976,61.61168316831683
1977,62.0310891089109
1978,62.42
1979,62.83029702970297
1980,63.22044554455446
1981,63.65777227722773
1982,64.08361386138614
1983,64.44564356435644
1984,64.81445544554455
1985,65.13168316831684
1986,65.54579207920793
1987,65.86806930693069
1988,66.14440594059405
1989,66.40247524752475
1990,66.78461538461539
1991,66.84466346153846
1992,67.026875
1993,67.0925
1994,67.00610576923077
1995,67.22
1996,67.41240384615385
1997,67.62354066985645
1998,67.76234449760766
1999,67.93488038277512
2000,68.0777033492823
2001,68.43794258373207
2002,68.65325358851675
2003,68.93555023923446
2004,69.1842105263158
2005,69.52401913875599
2006,69.85019047619048
2007,70.13971153846154
2008,70.44716346153847
2009,70.7677403846154
2010,70.96990384615384
2011,71.324375
2012,71.66307692307693
2013,71.91610576923077
2014,72.088125
2015,72.32100961538461
2016,72.55663461538462
